System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
MediaWiki,1.5.1,111774,348,241070,31780,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,480,25,3,2,5,0,0,0,0,0
MediaWiki,1.5.2,111626,346,240575,31663,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,478,25,3,2,5,0,0,0,0,0
MediaWiki,1.5.3,111422,344,239976,31537,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,475,25,3,2,5,0,0,0,0,0
MediaWiki,1.5.4,111465,349,240010,31555,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,480,25,3,2,5,0,0,0,0,0
MediaWiki,1.5.5,111522,351,240160,31599,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,482,25,3,2,5,0,0,0,0,0
MediaWiki,1.5.6,111553,351,240224,31621,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,482,25,3,2,5,15,6,0,0,21
MediaWiki,1.5.7,111826,357,240958,31826,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,490,25,3,2,5,15,6,0,0,21
MediaWiki,1.5.8,110764,355,240987,31829,11,7,5,10,15,0,0,0,0,0,48,0,0,0,0,0,0,0,489,25,3,2,5,15,7,0,0,22
MediaWiki,1.6.0,136256,544,294201,38087,13,4,5,15,12,0,0,0,0,0,49,0,0,0,0,1,0,1,723,47,4,3,7,0,0,0,0,0
MediaWiki,1.6.1,136317,544,294340,38090,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,723,47,4,3,7,0,0,0,0,0
MediaWiki,1.6.2,136339,544,294406,38093,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,723,47,4,3,7,0,0,0,0,0
MediaWiki,1.6.3,136338,544,294407,38092,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,723,47,4,3,7,0,0,0,0,0
MediaWiki,1.6.4,138175,546,297664,38241,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,725,47,4,3,7,0,0,0,0,0
MediaWiki,1.6.5,138173,546,297658,38239,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,725,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.6,138503,546,298252,38245,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,725,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.7,138496,546,298080,38219,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,725,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.8,138412,545,297805,38147,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,725,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.9,138420,545,297816,38149,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,724,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.10,138435,545,297852,38164,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,724,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.11,138453,545,297911,38171,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,724,47,4,3,7,17,13,0,0,30
MediaWiki,1.6.12,138472,545,298100,38180,15,4,5,15,12,0,0,0,0,0,51,0,0,0,0,1,0,1,724,47,4,3,7,0,0,0,0,0
MediaWiki,1.7.0,160964,585,343284,41037,15,4,5,24,13,0,0,0,0,0,61,0,0,0,0,1,0,1,670,69,4,3,7,0,0,0,0,0
MediaWiki,1.7.1,160964,585,343284,41037,15,4,5,24,13,0,0,0,0,0,61,0,0,0,0,1,0,1,670,69,4,3,7,0,0,0,0,0
MediaWiki,1.7.2,160959,585,343289,41039,15,4,5,24,13,0,0,0,0,0,61,0,0,0,0,1,0,1,670,70,4,3,7,0,0,0,0,0
MediaWiki,1.7.3,160966,585,343305,41046,15,4,5,24,13,0,0,0,0,0,61,0,0,0,0,1,0,1,670,70,4,3,7,0,0,0,0,0
MediaWiki,1.8.0,170245,549,370288,43594,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,405,96,3,5,8,0,0,0,0,0
MediaWiki,1.8.1,170286,549,370331,43609,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,406,96,3,5,8,0,0,0,0,0
MediaWiki,1.8.2,170287,549,370338,43610,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,406,96,3,5,8,0,0,0,0,0
MediaWiki,1.8.3,170294,549,370364,43615,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,406,96,3,5,8,20,14,0,0,34
MediaWiki,1.8.4,170308,549,370393,43626,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,406,96,3,5,8,20,14,0,0,34
MediaWiki,1.8.5,170309,549,370397,43627,11,8,6,33,20,0,0,0,0,0,78,0,0,0,0,5,0,5,406,96,3,5,8,20,14,0,0,34
MediaWiki,1.9.0,189263,581,406326,45982,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,0,0,0,0,0
MediaWiki,1.9.1,189269,581,406341,45985,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,0,0,0,0,0
MediaWiki,1.9.2,189277,581,406370,45993,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,21,14,0,0,35
MediaWiki,1.9.3,189282,581,406375,45995,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,21,14,0,0,35
MediaWiki,1.9.4,189287,581,406393,45999,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,21,14,0,0,35
MediaWiki,1.9.5,189297,581,406417,46005,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,21,14,0,0,35
MediaWiki,1.9.6,189297,581,406416,46005,11,5,6,32,43,0,0,0,0,0,97,0,0,0,0,5,0,5,416,95,3,4,7,21,14,0,0,35
MediaWiki,1.10.0,215638,627,470211,48559,20,8,7,34,43,0,1,0,0,0,113,0,0,0,0,5,0,5,434,124,3,4,7,0,0,0,0,0
MediaWiki,1.10.1,215729,627,470543,48625,20,8,7,34,43,0,1,0,0,0,113,0,0,0,0,5,0,5,434,124,3,4,7,0,0,0,0,0
MediaWiki,1.10.2,215730,627,470547,48626,20,8,7,34,43,0,1,0,0,0,113,0,0,0,0,5,0,5,434,124,3,4,7,23,14,0,0,37
MediaWiki,1.10.3,215740,627,470571,48632,20,8,7,34,43,0,1,0,0,0,113,0,0,0,0,5,0,5,434,124,3,4,7,23,14,0,0,37
MediaWiki,1.10.4,215740,627,470570,48632,20,8,7,34,43,0,1,0,0,0,113,0,0,0,0,5,0,5,434,124,3,4,7,23,14,0,0,37
MediaWiki,1.11.0,239698,695,521281,51996,23,8,7,37,37,0,1,0,0,0,113,0,1,0,0,5,0,6,405,153,3,4,7,0,0,0,0,0
MediaWiki,1.11.1,239708,695,521307,52003,23,8,7,37,37,0,1,0,0,0,113,0,1,0,0,5,0,6,405,153,3,4,7,28,20,0,0,48
MediaWiki,1.11.2,239715,695,521325,52008,23,8,7,37,37,0,1,0,0,0,113,0,1,0,0,5,0,6,405,153,3,4,7,28,20,0,0,48
MediaWiki,1.12.0,351710,850,745090,59315,23,7,7,46,36,0,1,0,0,0,120,0,2,0,0,6,0,8,422,165,3,3,6,35,26,0,0,61
MediaWiki,1.12.1,394940,850,819360,59270,23,7,7,46,35,0,1,0,0,0,119,0,2,0,0,6,0,8,422,165,3,3,6,35,26,0,0,61
MediaWiki,1.12.2,404973,852,835581,59576,23,7,7,46,35,0,1,0,0,0,119,0,2,0,0,6,0,8,422,165,3,3,6,36,26,0,0,62
MediaWiki,1.12.3,404973,852,835581,59576,23,7,7,46,35,0,1,0,0,0,119,0,2,0,0,6,0,8,422,165,3,3,6,36,26,0,0,62
MediaWiki,1.12.4,408039,852,841028,59584,23,7,7,46,35,0,1,0,0,0,119,0,2,0,0,6,0,8,422,165,3,3,6,36,26,0,0,62
MediaWiki,1.13.0,435421,898,909178,65650,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,40,37,0,0,77
MediaWiki,1.13.1,438835,900,914728,65679,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,40,37,0,0,77
MediaWiki,1.13.2,442883,900,920794,65727,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,40,37,0,0,77
MediaWiki,1.13.3,450481,901,934279,66033,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,41,37,0,0,78
MediaWiki,1.13.4,458589,907,949204,66055,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,41,37,0,0,78
MediaWiki,1.13.5,465427,907,960507,66059,10,5,7,50,43,0,1,0,0,0,116,0,2,0,0,6,0,8,437,175,3,3,6,41,37,0,0,78
MediaWiki,1.14.0,498327,951,1036570,69269,10,5,7,55,50,0,1,0,0,0,128,0,2,0,0,6,0,8,446,182,3,4,7,44,41,0,0,85
MediaWiki,1.14.1,508504,951,1054013,69273,10,5,7,55,50,0,1,0,0,0,128,0,2,0,0,6,0,8,446,182,3,4,7,44,41,0,0,85
MediaWiki,1.15.0,533598,974,1110568,71783,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,6,0,8,459,190,4,4,8,39,42,0,0,81
MediaWiki,1.15.1,533601,974,1110571,71784,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,6,0,8,459,190,4,4,8,39,42,0,0,81
MediaWiki,1.15.2,563718,974,1162133,71835,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,7,0,9,459,190,4,4,8,39,44,0,0,83
MediaWiki,1.15.3,564829,974,1163977,71867,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,7,0,9,459,190,4,4,8,39,44,0,0,83
MediaWiki,1.15.4,567040,974,1167866,71905,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,7,0,9,459,190,4,4,8,39,44,0,0,83
MediaWiki,1.15.5,570171,974,1173266,72012,10,5,7,54,51,0,1,0,0,0,128,0,2,0,0,7,0,9,459,190,4,4,8,39,44,0,0,83
MediaWiki,1.16.0,627272,1044,1284504,78090,9,4,7,64,60,0,1,0,0,0,145,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
MediaWiki,1.16.1,627313,1044,1284377,78129,9,4,7,64,60,0,1,0,0,0,145,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
MediaWiki,1.16.2,647471,1044,1318557,78141,9,4,7,64,60,0,1,0,0,0,145,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
MediaWiki,1.16.3,652914,1044,1327563,78153,9,4,7,64,60,0,1,0,0,0,145,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
MediaWiki,1.16.4,652915,1044,1327564,78153,9,4,7,64,60,0,1,0,0,0,145,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
MediaWiki,1.16.5,655180,1044,1331712,78160,9,4,7,64,62,0,1,0,0,0,147,0,2,0,0,7,0,9,524,397,3,4,7,54,47,0,0,101
