System,Version,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,Total Includes,Dynamic Includes,Eval,Create Function Uses,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray
MediaWiki,1.21.9,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.21.10,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.21.11,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.22.0,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,490,452,4,1,0,0,0,0
MediaWiki,1.22.1,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,100,0,0
MediaWiki,1.22.2,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.3,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.4,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.5,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.6,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.7,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.8,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.9,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.10,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.11,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.22.12,6,105,27,87,114,0,2,4,0,0,2,3,0,0,14,0,488,450,4,1,88,101,0,0
MediaWiki,1.23.0,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
MediaWiki,1.23.1,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
MediaWiki,1.23.2,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
MediaWiki,1.23.3,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
MediaWiki,1.23.4,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
MediaWiki,1.23.5,6,127,26,90,122,0,1,4,0,0,2,3,0,0,12,0,492,455,4,1,91,103,0,0
WordPress,0.71-gold,49,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,133,43,5,0,0,0,0,0
WordPress,1.0-platinum,70,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,144,38,6,0,0,0,0,0
WordPress,1.0.1-miles,70,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,146,36,6,0,0,0,0,0
WordPress,1.0.2,70,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,146,36,6,0,0,0,0,0
WordPress,1.2.1,91,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,204,39,8,0,0,0,0,0
WordPress,1.2.2,91,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,207,42,8,0,0,0,0,0
WordPress,1.5-strayhorn,81,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,220,77,2,0,0,0,0,0
WordPress,1.5.1.2,80,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,223,86,3,0,0,0,0,0
WordPress,1.5.1.3,80,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,223,86,3,0,0,0,0,0
WordPress,1.5.1,81,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,223,86,2,0,0,0,0,0
WordPress,1.5.1.1,80,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,223,86,3,0,0,0,0,0
WordPress,1.5.2,80,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,223,86,3,0,0,0,0,0
WordPress,2.0,56,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,230,100,3,4,0,0,0,0
WordPress,2.0.1,60,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,4,0,0,0,0
WordPress,2.0.4,60,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,4,0,0,0,0
WordPress,2.0.5,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,5,0,0,0,0
WordPress,2.0.6,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,5,0,0,0,0
WordPress,2.0.7,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,6,0,0,0,0
WordPress,2.0.8,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,6,0,0,0,0
WordPress,2.0.9,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,6,0,0,0,0
WordPress,2.0.10,64,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,234,100,3,6,0,0,0,0
